,My knowledge of R is best described as:,Professionally I am best described as:,My age is:,I read the blog aggrogator R-bloggers:,My knowledge of statistics/econometrics/psychometrics is best described as:,I read the blog EconometricsBySimulation:,My favorite color is:,My gender is:,My area of research can best be described as:,My knowledge of R Shiny is best described as:,What... is the air-speed velocity of an unladen swallow?
User 186,Moderate,Graduate Student,less than 25,weekly,Prefer not to answer,Prefer not to answer,orange,Prefer not to answer,Data Analysis,Prefer not to answer,~50 MPH
User 187,None,Graduate Student,36-45,weekly,Moderate,weekly,green,Male,Data Analysis,Advanced,~50 MPH
User 188,Expert,Industry/Professional,46-55,daily,Expert,monthly,blue,Male,Data Analysis,Moderate,What do you mean? An African or European swallow?
User 189,Moderate,Industry/Professional,less than 25,daily,Moderate,Prefer not to answer,blue,Male,Econometrics,None,I don't know!
User 190,Basic,Industry/Professional,56 or older,daily,Prefer not to answer,never,orange,Male,Data Analysis,Basic,I don't know!
User 191,,,,,,daily,green,Male,Data Analysis,Basic,I don't know!
User 192,Advanced,Industry/Professional,26-35,weekly,Advanced,never,blue,Male,Data Analysis,Basic,What do you mean? An African or European swallow?
User 193,Prefer not to answer,,,,,,,,,,~50 MPH
User 194,Moderate,Industry/Professional,36-45,daily,Basic,never,red,Male,Data Analysis,Basic,I don't know!
User 195,Moderate,Industry/Professional,26-35,daily,Moderate,Prefer not to answer,blue,Male,Statistics,Basic,~50 MPH
User 196,Advanced,Industry/Professional,less than 25,daily,Moderate,never,green,Male,Data Analysis,Basic,I don't know!
User 197,Expert,Professor,36-45,daily,Expert,weekly,Prefer not to answer,Prefer not to answer,Psychometrics,Moderate,Prefer not to answer
User 198,Advanced,Industry/Professional,26-35,daily,Moderate,monthly,pink,Male,Data Analysis,Basic,What do you mean? An African or European swallow?
User 199,Basic,Industry/Professional,26-35,weekly,Moderate,Prefer not to answer,orange,Male,Data Analysis,Basic,I don't know!
User 200,Expert,Graduate Student,26-35,daily,Advanced,Prefer not to answer,blue,Female,Data Analysis,Moderate,Prefer not to answer
User 201,Expert,Graduate Student,26-35,weekly,Advanced,monthly,blue,Male,Data Analysis,Basic,I don't know!
User 202,Advanced,Industry/Professional,46-55,daily,Advanced,monthly,blue,Male,Econometrics,Basic,I don't know!
User 203,Moderate,Industry/Professional,36-45,weekly,Advanced,never,red,Male,Statistics,Basic,Prefer not to answer
User 204,Moderate,Industry/Professional,36-45,daily,Advanced,weekly,Prefer not to answer,Prefer not to answer,Prefer not to answer,None,I don't know!
User 205,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer
User 206,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer
User 207,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer
User 208,Advanced,Industry/Professional,36-45,Prefer not to answer,,monthly,blue,Male,Prefer not to answer,Advanced,Prefer not to answer
User 209,Advanced,Industry/Professional,36-45,daily,Advanced,never,green,Male,Data Analysis,Basic,Prefer not to answer
User 210,Advanced,Industry/Professional,36-45,daily,Advanced,never,green,Male,Data Analysis,Basic,~50 MPH
User 211,Expert,Professor,less than 25,never,Expert,never,red,Prefer not to answer,Statistics,None,What do you mean? An African or European swallow?
